Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Carbone, Austin",FR-1,Princeton,10.75,0.8,SO-2,10.8,10.8
"Tay, Joseph",SO-2,Virginia Tech,10.75,2.5,JR-3,10.71,10.71
"Spearman, Donovan",FR-1,Dartmouth,10.75,-0.2,SO-2,10.54,10.54
"Campbell, Kaleb",FR-1,UTSA,10.76,1.3,SO-2,10.61,10.61
"Moore, Nick",FR-1,USC,10.76,0.4,SO-2,10.67,10.67
"Omoera, Samuel",JR-3,Prairie View,10.76,-0.5,SR-4,10.47,10.47
"McDonald, Trenton",FR-1,Houston,10.76,1.4,SO-2,10.6,10.605
"Macauley, Kyle",SO-2,Yale,10.77,3.2,JR-3,10.94,10.94
"McGrath, Joe",SO-2,Princeton,10.77,-0.6,JR-3,10.88,10.88
"Jones , Tyron",SO-2,Alabama State,10.77,1.5,JR-3,10.94,10.94
"Griffin, Jay",FR-1,New Mexico,10.77,1.3,JR-3,10.63,10.63
"Beaumont, Josh",JR-3,Youngstown St.,10.77,2.0,SR-4,10.72,10.72
"Hartsfield , Blake",SO-2,N.C. Central,10.78,3.0,JR-3,10.89,10.89
"Jefferson, Kedrin",FR-1,Army West Point,10.78,1.8,SO-2,10.61,10.605
"Prince, Patrick",JR-3,UTSA,10.78,1.8,SR-4,11.08,11.08
"Bibbs, Travis",JR-3,Arkansas-Pine Bluff,10.78,2.9,SR-4,11.11,11.11
"Molas, Miguel",JR-3,Air Force,10.78,1.0,SR-4,10.65,10.65
"Gardner, Ethan",JR-3,Washington St.,10.78,3.0,SR-4,10.87,10.87
"Pierce, Austin",FR-1,Navy,10.79,2.6,SO-2,10.87,10.87
"Hill, Chris",SO-2,Arkansas State,10.79,3.6,JR-3,10.96,10.96
"Gish, Nathan",JR-3,Colorado St.,10.79,1.1,SR-4,10.62,10.62
"Hooker, Dion",JR-3,Illinois State,10.79,2.6,SR-4,10.7,10.7
"Childs, Steven",JR-3,UC Davis,10.79,0.7,SR-4,11.09,11.09
"Chen, Ethan",SO-2,Penn,10.79,2.9,JR-3,10.82,10.82
"Sharp, Joshua",JR-3,Bethune-Cookman,10.79,3.6,SR-4,10.99,10.99
"Dorsey, Khalil",SO-2,Northern Arizona,10.8,-0.5,JR-3,10.59,10.59
"Hollimon, Miles",FR-1,Davidson,10.8,1.2,SO-2,11.13,11.13
"Jones, Christian",FR-1,Jackson State,10.8,0.8,SO-2,10.63,10.63
"Beaver, Edjim",SO-2,Louisiana Tech,10.8,1.8,FR-1,10.85,10.85
"Rantin, Keon",SO-2,Morgan State,10.8,1.5,SO-2,10.68,10.68
"Posada, Terrell",SO-2,Eastern Michigan,10.81,2.5,JR-3,10.28,10.28
